rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
111,"spotify:track:172fMG26G2OoEzzg0wn26r","King Gnu","白日","Sony Music Labels Inc.",1,110,1392,"46589"
112,"spotify:track:2vAtN2fB1zqTzfPGxqHmyO","neguse.","グッドな音楽を","ねぐせ。",53,109,98,"46574"
113,"spotify:track:3K9RzumH1VCDgIZuwuT9bq","HoneyWorks & かぴ","可愛くてごめん","HoneyWorks",67,111,41,"46437"
114,"spotify:track:63V6CgRiFhyxaNWpreSryC","Saucy Dog","現在を生きるのだ。","A-Sketch",107,107,3,"46276"
115,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",58,138,54,"46259"
116,"spotify:track:59eluCMn0XbOWqeWQ91FTM","Aimyon","君はロックを聴かない","WM Japan",2,113,1777,"46199"
117,"spotify:track:1S1WSh4uCprvucg6Hx57Eh","Mrs. GREEN APPLE & asmi","ブルーアンビエンス","Universal Music LLC",68,121,183,"45723"
118,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas Ikuta","スパークル","幾田りら",51,118,330,"45443"
119,"spotify:track:2JPT05xVbGuIkAc0LNRo3s","Ado","風のゆくえ","Universal Music LLC",8,120,126,"45342"
120,"spotify:track:2vOAHp8PBBFYqvQUWSoITY","Mrs. GREEN APPLE","インフェルノ","Universal Music LLC",13,122,1245,"45130"
121,"spotify:track:7LsVUX6kePVHSohmWmAwaO","SEKAI NO OWARI","silent","Universal Music LLC",3,129,486,"45018"
122,"spotify:track:4n1x8gmuHKOJ1BNFnBsgTh","Saucy Dog","魔法にかけられて","A-Sketch",52,114,264,"44965"
123,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",123,131,8,"44781"
124,"spotify:track:6VfMXMW0vm2vKMKzZJXEmN","NiziU","Blue Moon","Sony Music Labels Inc.",124,133,15,"44558"
125,"spotify:track:7DyS11kB1YNrfDzQqtjmTh","HIRAIDAI","Stand by me Stand by you.","avex trax",4,123,824,"44550"
126,"spotify:track:1SQiB9KEx06RbXuGmqCLuc","Keisuke Kuwata","白い恋人達 [2022 Remaster]","TAISHITA",31,136,80,"44446"
127,"spotify:track:2mRMcwDCNyYvBXaoUxmsmE","Saucy Dog","優しさに溢れた世界で","A-Sketch",7,119,196,"44399"
128,"spotify:track:1Un529i9CGOerj2QZKHWkl","8LOOM","君の花になる","Virgin Music Label And Artist Services (S&D)",93,117,34,"44235"
129,"spotify:track:0UBUg8NU4XJtQqzTPs8Pkr","YOASOBI","三原色","YOASOBI",4,124,531,"43752"
130,"spotify:track:2cKiHG16JBiqHdi7Llq0r7","Aimyon","マリーゴールド","WM Japan",1,130,1610,"43489"
131,"spotify:track:3Itdlob7CzXIQqydeVwutQ","BE:FIRST","Bye-Good-Bye","B-ME",8,128,283,"43334"
132,"spotify:track:5hL1l3xsH0ZyKl8yUI6woj","Ado","Tot Musica","Universal Music LLC",7,127,126,"43325"
133,"spotify:track:63EaBEMlwYv55V7YXO7LQv","Ryokuoushoku Shakai","ミチヲユケ","Sony Music Labels Inc.",93,126,37,"42877"
134,"spotify:track:6sIx7Cn37DGEhjy9hBP8Gx","DISH//","猫","Sony Music Labels Inc.",16,132,959,"42870"
135,"spotify:track:0jpP8AlQLVtaMwA3vQYpYB","結束バンド","青春コンプレックス","Aniplex Inc.",128,137,20,"42780"
136,"spotify:track:4dFGAtzdQ0C7WowKPZXc8J","Saucy Dog","紫苑","A-Sketch",24,125,71,"42573"
137,"spotify:track:04niDJQ3mzjkwzvid0Otoi","TOOBOE","錠剤","Sony Music Labels Inc.",57,134,42,"42255"
138,"spotify:track:5xDrO9DEDJGUQGfyoHvgDJ","Ariana Grande","Last Christmas","Universal Records",40,146,40,"42228"
139,"spotify:track:4Jv7U0JJpbQnOrjtDwDZTZ","Aimyon","裸の心","WM Japan",2,139,957,"41710"
140,"spotify:track:6uEjidfPwXY3jfzeCD9ILT","8LOOM","HIKARI","Virgin Music Label And Artist Services (S&D)",106,135,21,"41621"
141,"spotify:track:6MkbBtxdVggObSGnqB8miZ","Aimyon","ハート","WM Japan",9,144,420,"40860"
142,"spotify:track:2rTmZHTXWo9YfIRAxbdkpG","マキシマム ザ ホルモン 一部のアニメテーマ専用仮設チャンネル","刃渡り2億センチ(TV edit)","WM Japan",27,140,49,"40619"
143,"spotify:track:0XZyF9lv6diMt4bxThOL0h","Awesome City Club","勿忘","cutting edge",3,141,686,"40568"
144,"spotify:track:10SRMwb9EuVS1K9rYsBfHQ","BTS","Yet To Come","BIGHIT MUSIC",1,148,187,"40019"
145,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","Universal Music LLC",12,145,117,"39898"
